"","R15-002","R15-006","R15-007","R15-009","R15-010.1","R15-010.2","R16-003-03","R16-004-01.1","R16-005-01","R16-006-01","R17-001-02","R17-002-02","R17-002-03","R17-003-01","R17-004-01","R17-004-03","R17-005-01","R17-007-03","R17-008-02","R18-002-01.1","R18-002-01.2","R18-003-02","R18-003-03","R18-004-02","R18-004-03","R18-005-03","R18-006-01","R18-006-03","R18-007-02","R18-007-03","R18-008-01","R18-009-02.1","R18-009-02.2","R18-010-01","R18-010-02","R18-010-03","R18-013-01","R18-014-01","R18-015-01","R18-017-01","R18-018-02","R18-019-01","R18-019-02.1","R18-019-02.2","R18-020-01","R18-022-03","R18-023-03","R18-024-01","R18-024-02"
"R18-009-02.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.908228693561314,0.875,0.876648351648352,0.885086254869227,0.904710341093665,0.87112105116019,0.887713109935332,0.903398692810457,0.9134565330557,0.90484865470852,0.867461622807018,0.858659217877095,0.864461045891142,0.908503767491927,0.915796519410977,0.90955766192733
"R18-010-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.876955714664545,0.87742363877822,0.881353628703452,0.903800786369594,0.869794483504597,0.881910972497874,0.898283695103483,0.917402269861286,0.908163265306122,0.865701381509033,0.857046070460705,0.847499125568381,0.906633585792635,0.901067430356678,0.902146142054165
"R18-010-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.916801292407108,0.899167822468793,0.899812231759657,0.966784644704601,0.871995366348103,0.888860170586715,0.934119456549603,0.863965469228627,0.919225634178905,0.902960526315789,0.86811802806765,0.897585566463253,0.88937583001328,0.857701329163409
"R18-010-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.890481491789591,0.898003237992445,0.914674361088211,0.877625437572929,0.888860036354194,0.874255374255374,0.867581187010078,0.912435514526201,0.909241837299391,0.869073275862069,0.900881645738712,0.897117694155324,0.865318981359937
"R18-013-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.900550964187328,0.892045454545455,0.878886585726977,0.894596752728241,0.879428873611846,0.87400228050171,0.887465181058496,0.8816685584563,0.928520625889047,0.910333515582285,0.90057361376673,0.874865735767991
"R18-014-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.895501919912233,0.939786804955344,0.911350243402511,0.899155362170463,0.931654676258993,0.884315308044122,0.881037321624588,0.865132743362832,0.926497756664027,0.918950975224038,0.89018389018389
"R18-015-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.864651578320429,0.881492222515159,0.921473518615627,0.858689458689459,0.903292181069959,0.901203470472992,0.867305565794324,0.891109298531811,0.883991346673878,0.853944562899787
"R18-017-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.892688351403948,0.87382271468144,0.899360093077371,0.862329363926808,0.858175914994097,0.857301704966642,0.90281771132835,0.902170808340474,0.877513966480447
"R18-018-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.897098598475535,0.885169378500934,0.878921441534872,0.873114580576872,0.868821292775665,0.918799087914872,0.914544996218805,0.892438233092089
"R18-019-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.901352426412092,0.860600569505566,0.852770448548813,0.846577227382181,0.915716096324461,0.898785425101215,0.898583146905295
"R18-019-02.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.856100981767181,0.848575498575499,0.846139971139971,0.900825309491059,0.894209659714599,0.899355012093523
